pathogen,travel,culture,startyear,endyear,yearn,count_median,,,,,,,inc,Est IR,IRR,.value_median,ref_value_median,ref_count_median,population_median,ref_pop_median,pinc_median,pinc_LL,pinc_UL,ref.est.ir_median,ref.est.ir_LL,ref.est.ir_UL,ref.ir_median,rr_median,rr_LL,rr_UL,pct.change_median,pct.change_LL,pct.change_UL
STEC,Excluded,CxCIDT,2006,2008,2023,2205,,,,,,,4.32,"4.28 (3.9, 4.71)","2.99 (2.67, 3.35)",2181.912395,656.0812415,694.6666667,51000988,45830891.67,4.278176718,3.89715815,4.71242808,1.431526243,1.346339591,1.524168581,1.51571711,2.99,2.67,3.35,199.23,167.2325,235.46875
SALMONELLA,Excluded,CxCIDT,2006,2008,2023,5700,,,,,,,11.18,"11.01 (10.24, 11.88)","1.1 (1.01, 1.19)",5614.464017,4604.537436,4692.333333,51000988,45830891.67,11.00853971,10.24428613,11.88083826,10.04679872,9.655630011,10.47138774,10.23836361,1.1,1.01,1.19,9.62,0.74,19.27875
CAMPYLOBACTER,Excluded,CxCIDT,2006,2008,2023,7608,,,,,,,14.92,"14.17 (13.07, 15.43)","2.51 (2.28, 2.77)",7224.696881,2583.163293,2559.666667,51000988,45830891.67,14.16579789,13.06700446,15.42628643,5.6362929,5.353919023,5.940013179,5.585024802,2.51,2.28,2.77,151.365,128.3525,177.3225
BRAENDERUP,Excluded,CxCIDT,2016,2018,2023,116,,,,,,,0.23,"0.21 (0.17, 0.27)","1.13 (0.89, 1.46)",109.275819,94.21965745,106.6666667,51000988,49658365,0.21,0.17,0.27,0.19,0.17,0.21,0.214801004,1.13,0.89,1.46,13.06,-11.38875,45.76875
MUENCHEN,Excluded,CxCIDT,2016,2018,2023,103,,,,,,,0.2,"0.22 (0.18, 0.26)","0.95 (0.77, 1.17)",110.180777,112.6539709,118,51000988,49658365,0.22,0.18,0.26,0.23,0.21,0.25,0.237623611,0.95,0.77,1.17,-4.53,-22.74875,17.46875
MISSISSIPPI,Excluded,CxCIDT,2016,2018,2023,103,,,,,,,0.2,"0.22 (0.16, 0.32)","1.82 (1.29, 2.74)",110.4608497,59.27613596,56,51000988,49658365,0.22,0.16,0.32,0.12,0.1,0.14,0.112770527,1.82,1.29,2.74,81.51,28.77625,173.93875
SAINTPAUL,Excluded,CxCIDT,2016,2018,2023,104,,,,,,,0.2,"0.23 (0.18, 0.32)","0.99 (0.74, 1.35)",118.870988,117.2963133,116.6666667,51000988,49658365,0.23,0.18,0.32,0.24,0.21,0.27,0.234938598,0.99,0.74,1.35,-1.29,-26.215,34.59
LISTERIA,Excluded,CxCIDT,2016,2018,2023,138,,,,,,,0.27,"0.26 (0.22, 0.31)","1.13 (0.94, 1.37)",131.7276839,113.2664358,121.3333333,51000988,49658365,0.26,0.22,0.31,0.23,0.21,0.25,0.244336142,1.13,0.94,1.37,13.33,-5.59,36.55625
INFANTIS,Excluded,CxCIDT,2016,2018,2023,140,,,,,,,0.27,"0.32 (0.26, 0.4)","1.03 (0.81, 1.3)",164.0806185,155.2678473,148.6666667,51000988,49658365,0.32,0.26,0.4,0.31,0.28,0.35,0.2993789,1.03,0.81,1.3,2.915,-18.8975,30.3475
"I 4,[5],12:i:-",Excluded,CxCIDT,2016,2018,2023,201,,,,,,,0.39,"0.43 (0.35, 0.52)","0.63 (0.51, 0.79)",216.926523,334.6010957,358.6666667,51000988,49658365,0.43,0.35,0.52,0.67,0.61,0.74,0.722268376,0.63,0.51,0.79,-36.85,-49.1775,-21.26
